item_id,raid,boss,item_name,p1,p2,p3,notes,tags
30061,Serpentshrine Cavern,The Lurker Below,Ancestral Ring of Conquest,DPS Warrior/Ret Paladin,,,,"dps warrior, retribution paladin"
33054,Serpentshrine Cavern,The Lurker Below,The Seal of Danzalar,Prot Paladin,,,,
30665,Serpentshrine Cavern,The Lurker Below,Earring of Soulful Meditation,Healing Priest,,,,healing priest
30063,Serpentshrine Cavern,The Lurker Below,Libram of Absolute Truth,Holy Paladin,,,,holy paladin
30058,Serpentshrine Cavern,The Lurker Below,Mallet of the Tides,Prot Warrior,,,,protection warrior
30092,Serpentshrine Cavern,Leotheras the Blind,Orca-Hide Boots,Resto Druid/Resto Shaman,Holy Paladin,,,"restoration druid, restoration shaman, holy paladin, healer,"
30097,Serpentshrine Cavern,Leotheras the Blind,Coral-Barbed Shoulderpads,Free roll,,,,
30091,Serpentshrine Cavern,Leotheras the Blind,True-Aim Stalker Bands,Enhancement Shaman,,,,"enhancement shaman, "
30096,Serpentshrine Cavern,Leotheras the Blind,Girdle of the Invulnerable,Prot Warrior/Prot Paladin,OS roll (prio swaps),,,"tank, warrior, paladin"
30627,Serpentshrine Cavern,Leotheras the Blind,Tsunami Talisman,Phys DPS,,,***LC will make final call between whomever rolled.***,"hunter, dps warrior, enhancement shaman, rogue, retribution paladin, feral dps, physical dps,"
30095,Serpentshrine Cavern,Leotheras the Blind,Fang of the Leviathan,Prot Paladin ,Warlock,Mage,***LC will make final call between whomever rolled.***,"mage, warlock, prot paladin, caster"
30239,Serpentshrine Cavern,Leotheras the Blind,Gloves of the Vanquished Champion,Tank/Healer,Rogue/Enh Shaman,,Prio for 4p on Rogue / Enh Shaman,"tank, warrior, rogue, shaman"
30240,Serpentshrine Cavern,Leotheras the Blind,Gloves of the Vanquished Defender,Tank/Healer,DPS Warrior/Balance,,Prio for 4p on Priests/Dps Warriors/Balance/Feral DPS,
30241,Serpentshrine Cavern,Leotheras the Blind,Gloves of the Vanquished Hero,Mage/Hunter,Warlock,,Prio for 4p Mage/Hunter,
30100,Serpentshrine Cavern,Fathom-Lord Karathress,Soul-Strider Boots,Healing Priest,Resto Druid,,,
30101,Serpentshrine Cavern,Fathom-Lord Karathress,Bloodsea Brigand's Vest,Rogue,,,,
30099,Serpentshrine Cavern,Fathom-Lord Karathress,Frayed Tether of the Drowned,Tank,,,,tank
30663,Serpentshrine Cavern,Fathom-Lord Karathress,Fathom-Brooch of the Tidewalker,Shammy,,,,
30626,Serpentshrine Cavern,Fathom-Lord Karathress,Sextant of Unstable Currents,Free roll,,,,
30090,Serpentshrine Cavern,Fathom-Lord Karathress,World Breaker,Free roll,,,,
30245,Serpentshrine Cavern,Fathom-Lord Karathress,Leggings of the Vanquished Champion,Tank/Healer,Rogue/Enh Shaman/Ele Shaman,,Prio for 4p on Rogue / Enh Shaman,
30246,Serpentshrine Cavern,Fathom-Lord Karathress,Leggings of the Vanquished Defender,Tank/Healer,DPS / Heals ,,Prio for 4p on Priests/Dps Warriors/Balance/Feral DPS. DPS warr alt to Leggings of Murderous Intent,
30247,Serpentshrine Cavern,Fathom-Lord Karathress,Leggings of the Vanquished Hero,Arcane Mage,Hunter,Warlock,Prio for 4p Mage/Hunter,
30098,Serpentshrine Cavern,Morogrim Tidewalker,Alt to Band of the Ranger-General,Ret Paladin,Feral DPS/ Enh Shaman,,Feral DPS/Enh Shaman alt to Thalassian Wildercloak,
30079,Serpentshrine Cavern,Morogrim Tidewalker,Illidari Shoulderpads,Free roll,,,,
30075,Serpentshrine Cavern,Morogrim Tidewalker,Gnarled Chestpiece of the Ancients,Free roll,,,,
30085,Serpentshrine Cavern,Morogrim Tidewalker,Mantle of the Tireless Tracker,Free roll,,,,
30068,Serpentshrine Cavern,Morogrim Tidewalker,Girdle of the Tidal Call,Free roll,,,,
30084,Serpentshrine Cavern,Morogrim Tidewalker,Pauldrons of the Argent Sentinel,Holy Pally,,,,
30081,Serpentshrine Cavern,Morogrim Tidewalker,Warboots of Obliteration,DPS Warrior/Ret Paladin,,,,
30008,Serpentshrine Cavern,Morogrim Tidewalker,Pendant of the Lost Ages,Free roll,,,Prot pally prio if they want it,
30083,Serpentshrine Cavern,Morogrim Tidewalker,Ring of Sundered Souls,prot warrior,Protection Paladin,,,
33058,Serpentshrine Cavern,Morogrim Tidewalker,Band of the Vigilant,Free roll,,,,
30720,Serpentshrine Cavern,Morogrim Tidewalker,Serpent-Coil Braid,Mage,,,,"mage, trinket"
30082,Serpentshrine Cavern,Morogrim Tidewalker,Talon of Azshara,Rogue ,Fury,,***LC will make final call between whomever rolled.***,"rogue, warrior, weapon"
30080,Serpentshrine Cavern,Morogrim Tidewalker,Luminescent Rod of the Naaru,Healing Priest,,,,
30107,Serpentshrine Cavern,Lady Vashj,Vestments of the Sea-Witch,Warlock,Shadow Priest,,Warlock Bis till sunwell***LC will make final call between whomever rolled.***,
30111,Serpentshrine Cavern,Lady Vashj,Runetotem's Mantle,,,,,
30106,Serpentshrine Cavern,Lady Vashj,Belt of One-Hundred Deaths,Tank,Physical dps,,***LC will make final call between whomever rolled.***,
30104,Serpentshrine Cavern,Lady Vashj,Cobra-Lash Boots,Hunter,Enchancement shaman,,,
30102,Serpentshrine Cavern,Lady Vashj,Krakken-Heart Breastplate,Free roll,,,,
30112,Serpentshrine Cavern,Lady Vashj,Glorious Gauntlets of Crestfall,Holy Paladin,,,,
30109,Serpentshrine Cavern,Lady Vashj,Ring of Endless Coils,Lock/SPriest/Ele Shaman,,,,
30110,Serpentshrine Cavern,Lady Vashj,Coral Band of the Revived,Healing Priest,Restoration Druid,Holy paladin,,
30621,Serpentshrine Cavern,Lady Vashj,Prism of Inner Calm,Blizzard trolling us,,,,
30103,Serpentshrine Cavern,Lady Vashj,Fang of Vashj,Prot Warrior ,,,,tank
30108,Serpentshrine Cavern,Lady Vashj,Lightfathom Scepter,,,,***LC will make final call.***,"healer, weapon, vashj"
30105,Serpentshrine Cavern,Lady Vashj,Serpent Spine Longbow,Hunter,DPS Warrior,,***LC will make final call between whomever rolled.***,"hunter, warrior, bow"
30242,Serpentshrine Cavern,Lady Vashj,Helm of the Vanquished Champion,Tank/Healer,DPS,,Prio for 4p.,
30243,Serpentshrine Cavern,Lady Vashj,Helm of the Vanquished Defender,Tank/Healer,DPS,,Prio for 4p. No prio on Feral dps and SPriests.,"prio, tanks, priests"
30244,Serpentshrine Cavern,Lady Vashj,Helm of the Vanquished Hero,Mage,Hunter,Warlock,Prio for 4p. No prio on Warlock.,
29906,Serpentshrine Cavern,Lady Vashj,Vashj's Vial Remnant,Req for Hyjal Attune (all classes) ,,,,
30027,Serpentshrine Cavern,Trash,Boots of Courage Unending,Holy Paladin,,,,
30022,Serpentshrine Cavern,Trash,Pendant of the Perilous,DPS Warrior/Ret Paladin,Enhancement Shaman,,Enh alt to Telonicus's Pendant of Mayhem,"melee, warrior, ret, enhance"
30620,Serpentshrine Cavern,Trash,Spyglass of the Hidden Fleet,Tanks,,,,"tank, warrior, paladin"
30023,Serpentshrine Cavern,Trash,Totem of the Maelstrom,Shaman,,,,
30021,Serpentshrine Cavern,Trash,Wildfury Greatstaff,Tank,Free roll / OS roll (prio swaps),,,"bear, feral, tank"
30025,Serpentshrine Cavern,Trash,Serpentshrine Shuriken,Free roll,,,,
30324,Serpentshrine Cavern,Trash,Plans: Red Havoc Boots,Crafter that will use the item,,,"The item crafed it BOP, so the pattern must go to the person that will use it.",
30322,Serpentshrine Cavern,Trash,Plans: Red Belt of Battle,Realorfake,,,RR for orbs (plate alt to Belt of One-Hundred Deaths) (we need less of these then any other belt),
30323,Serpentshrine Cavern,Trash,Plans: Boots of the Protector,Crafter that will use the item,,,"The item crafed it BOP, so the pattern must go to the person that will use it.",
30321,Serpentshrine Cavern,Trash,Plans: Belt of the Guardian,Realorfake,,,Orbs only as needed AFTER we have pattern.,
30280,Serpentshrine Cavern,Trash,Pattern: Belt of Blasting,Jinxmage,,,RR for orbs ,
30282,Serpentshrine Cavern,Trash,Pattern: Boots of Blasting,Crafter that will use the item,,,"The item crafed it BOP, so the pattern must go to the person that will use it.",
30283,Serpentshrine Cavern,Trash,Pattern: Boots of the Long Road,Crafter that will use the item,,,"The item crafed it BOP, so the pattern must go to the person that will use it.",
30281,Serpentshrine Cavern,Trash,Pattern: Belt of the Long Road,Jinxmage,,,RR for orbs,
30308,Serpentshrine Cavern,Trash,Pattern: Hurricane Boots,Crafter that will use the item,,,"The item crafed it BOP, so the pattern must go to the person that will use it.",
30304,Serpentshrine Cavern,Trash,Pattern: Monsoon Belt,Robeck,,,***Never gets crafted***,
30305,Serpentshrine Cavern,Trash,Pattern: Boots of Natural Grace,Crafter that will use the item,,,"The item crafed it BOP, so the pattern must go to the person that will use it.",
30307,Serpentshrine Cavern,Trash,Pattern: Boots of the Crimson Hawk,Crafter that will use the item,,,"The item crafed it BOP, so the pattern must go to the person that will use it.",
30306,Serpentshrine Cavern,Trash,Pattern: Boots of Utter Darkness,Crafter that will use the item,,,"The item crafed it BOP, so the pattern must go to the person that will use it.",
30301,Serpentshrine Cavern,Trash,Pattern: Belt of Natural Power,Robeck,,,***Never gets crafted***,
30303,Serpentshrine Cavern,Trash,Pattern: Belt of the Black Eagle,Robeck,,,***Never gets crafted***,
30302,Serpentshrine Cavern,Trash,Pattern: Belt of Deep Shadow,Robeck,,,RR for orbs (non-plate alt to Belt of One-Hundred Deaths),
30183,Serpentshrine Cavern,Trash,Nether Vortex,For weapon upgrades,RR on belt crafters,,"RR till we get a belt pattern, then we funnel vorts till we dont need. IF we have 2 or more patten, we RR those with patterns.",
32897,Serpentshrine Cavern,Trash,Mark of the Illidari,,,,Not available yet,
29925,Tempest Keep: The Eye,Al'ar,Phoenix-Wing Cloak,Tanks,Free roll / OS roll (prio swaps),,,
29918,Tempest Keep: The Eye,Al'ar,Mindstorm Wristbands,All caster DPS,,,"Its bis for all casters, not better for one or the other there should be no prio. Reasonable alts available on the AH.",
29947,Tempest Keep: The Eye,Al'ar,Gloves of the Searing Grip,Tank,Ret Paladin,,,
29921,Tempest Keep: The Eye,Al'ar,Fire Crest Breastplate,Free roll,,,,
29922,Tempest Keep: The Eye,Al'ar,Band of Al'ar,Shadow Priest,Mage,,,
29920,Tempest Keep: The Eye,Al'ar,Phoenix-Ring of Rebirth,Holy Paladin/Resto Shaman,,,,
30448,Tempest Keep: The Eye,Al'ar,Talon of Al'ar,Hunter,,,,
30447,Tempest Keep: The Eye,Al'ar,Tome of Fiery Redemption,Prot Paladin,,,,
29923,Tempest Keep: The Eye,Al'ar,Talisman of the Sun King,Priest,,,,
32944,Tempest Keep: The Eye,Al'ar,Talon of the Phoenix,Hunter BM x1,Ehn Shaman,,,
29948,Tempest Keep: The Eye,Al'ar,Claw of the Phoenix,Hunter BM x1,,,,
29924,Tempest Keep: The Eye,Al'ar,Netherbane,Hunter Surv x2,Ehn Shaman,,,
29949,Tempest Keep: The Eye,Al'ar,Arcanite Steam-Pistol,Rogue,Hunter,,,
29986,Tempest Keep: The Eye,Void Reaver,Cowl of the Grand Engineer,Shadow Priest,,,,
29984,Tempest Keep: The Eye,Void Reaver,Girdle of Zaetar,Free roll,,,Hunter alt to Leggings of Murderous Intent,
29985,Tempest Keep: The Eye,Void Reaver,Void Reaver Greaves,Hunter,,,,
29983,Tempest Keep: The Eye,Void Reaver,Fel-Steel Warhelm,Free roll,,,,
32515,Tempest Keep: The Eye,Void Reaver,Wristguards of Determination,Tanks,Free roll / OS roll (prio swaps),,,
30619,Tempest Keep: The Eye,Void Reaver,Fel Reaver's Piston,Free roll,,,,
30450,Tempest Keep: The Eye,Void Reaver,Warp-Spring Coil,Rogue,,,,
30248,Tempest Keep: The Eye,Void Reaver,Pauldrons of the Vanquished Champion,Tank/Healer,Rogue,,Prio for 4p on Rogue.,
30249,Tempest Keep: The Eye,Void Reaver,Pauldrons of the Vanquished Defender,Tank/Healer,DPS Warrior/Balance/SPriest,,"Prio for 4p on Healing Priests, DPS Warrior, Balance, Feral DPS","prio, tanks, priests"
30250,Tempest Keep: The Eye,Void Reaver,Pauldrons of the Vanquished Hero,Mage,Hunter,Warlock,Prio for 4p. No prio for Warlock.,
29977,Tempest Keep: The Eye,High Astromancer Solarian,Star-Soul Breeches,Free roll,,,,
29972,Tempest Keep: The Eye,High Astromancer Solarian,Trousers of the Astromancer,Shadow Priest,,,,"solarian, caster, legs"
29966,Tempest Keep: The Eye,High Astromancer Solarian,Vambraces of Ending,Rogue/Feral DPS/Hunter,,,,"solarian, rogue, feral, hunter, "
29976,Tempest Keep: The Eye,High Astromancer Solarian,Worldstorm Gauntlets,Resto Shaman/Holy Paladin,,,,
29951,Tempest Keep: The Eye,High Astromancer Solarian,Star-Strider Boots,Enh Shaman/Hunter,Ret Paladin,,Cobra-Lash Boots alt,"solarian, ret paladin, boots"
29965,Tempest Keep: The Eye,High Astromancer Solarian,Girdle of the Righteous Path,Holy Paladin,,,,"solarian, holy paladin, belt"
29950,Tempest Keep: The Eye,High Astromancer Solarian,Greaves of the Bloodwarder,Free roll,,,,"alar, warrior, ret, legs"
32267,Tempest Keep: The Eye,High Astromancer Solarian,Boots of the Resilient,Prot Paladin,Prot Warrior,,"Prot Paladin first, then Warrior.","alar, tank, paladin, warrior"
30446,Tempest Keep: The Eye,High Astromancer Solarian,Solarian's Sapphire,Warriors,,,,"alar, warrior, trinket"
30449,Tempest Keep: The Eye,High Astromancer Solarian,Void Star Talisman,Warlock,,,,"alar, warlock, trinket"
29962,Tempest Keep: The Eye,High Astromancer Solarian,Heartrazor,Free roll,,,Prio to rogues for PVP... i guess...,"alar, rogue, dagger"
29981,Tempest Keep: The Eye,High Astromancer Solarian,Ethereum Life-Staff,Resto Druid / Holy Priest,Resto Shaman,,Prio to anyone that doenst have Lightfathom Scepter/Lights justice,"alar, druid, priest, healer"
29982,Tempest Keep: The Eye,High Astromancer Solarian,Wand of the Forgotten Star,Warlock/Shadow Priest,Mage,,,"alar, warlock, shadow priest, mage, wand"
29992,Tempest Keep: The Eye,Kael'thas Sunstrider,Royal Cloak of the Sunstriders,Prot Paladin,SPriest/Mage,Ele Shaman,,"kael, prot paladin, shadow priest, cloak"
29989,Tempest Keep: The Eye,Kael'thas Sunstrider,Sunshower Light Cloak,Healing Priest/Resto Druid,Holy Paladin/Resto Shaman,,***LC will make final call between whomever rolled.***,"kael, healer, priest, druid, cloak"
29994,Tempest Keep: The Eye,Kael'thas Sunstrider,Thalassian Wildercloak,Hunter/Feral DPS/Enh Shaman,,,***LC will make final call between whomever rolled.***,"kael, hunter, enhance, feral, cloak"
29990,Tempest Keep: The Eye,Kael'thas Sunstrider,Crown of the Sun,Free roll,,,,"kael, druid, priest, helm"
29987,Tempest Keep: The Eye,Kael'thas Sunstrider,Gauntlets of the Sun King,Mage/Ele Shaman,,,"Ele shaman IF they dont have ""Soul-Eater's Handwraps""","kael, arcane mage, gloves"
29995,Tempest Keep: The Eye,Kael'thas Sunstrider,Leggings of Murderous Intent,DPS Warrior/Hunter,,,***LC will make final call between whomever rolled.***,"kael, hunter, warrior, ret, legs"
29991,Tempest Keep: The Eye,Kael'thas Sunstrider,Sunhawk Leggings,Resto Shaman/Holy Paladin,,,,"kael, resto shaman, holy paladin, legs"
29998,Tempest Keep: The Eye,Kael'thas Sunstrider,Royal Gauntlets of Silvermoon,Tanks,,,,"kael, prot warrior, prot paladin, gloves"
29997,Tempest Keep: The Eye,Kael'thas Sunstrider,Band of the Ranger-General,DPS Warrior/Hunter/Feral DPS/Rogue/Enh Shaman,,,***LC will make final call between whomever rolled.***,"kael, warrior, enhance, rogue, ret, ring"
29993,Tempest Keep: The Eye,Kael'thas Sunstrider,Twinblade of the Phoenix,Ret Paladin / Arms Warrior,Hunter,,,"kael, ret, arms, 2h"
29996,Tempest Keep: The Eye,Kael'thas Sunstrider,Rod of the Sun King,Enhancement Shaman,Fury Warrior,,,"kael, enhance, fury, weapon"
29988,Tempest Keep: The Eye,Kael'thas Sunstrider,The Nexus Key,Mage/Balance/Ele Shaman,,,***LC will make final call between whomever rolled.***,
30236,Tempest Keep: The Eye,Kael'thas Sunstrider,Chestguard of the Vanquished Champion,Tank/Healer,Enh Shaman,Ret/Ele Shaman,Prio for 4p on Enh Shaman,
30237,Tempest Keep: The Eye,Kael'thas Sunstrider,Chestguard of the Vanquished Defender,Tank/Healer,DPS,,"Prio for 4p on Healing Priests, DPS Warrior, Balance, Feral DPS","prio, tanks, heals"
30238,Tempest Keep: The Eye,Kael'thas Sunstrider,Chestguard of the Vanquished Hero,Mage/Hunter,Warlock,,"Prio for 4p. No prio for Warlock. (Warlock alt to ""Vestments of the Sea-Witch"")",
32458,Tempest Keep: The Eye,Kael'thas Sunstrider,Ashes of Al'ar,Classic raiders on team = 2 rolls,TBC raiders on team = 1 roll,,Req: Epic Flying skill,mount
32405,Tempest Keep: The Eye,Kael'thas Sunstrider,Verdant Sphere,,,,***LC will make final call.***,"Boomkin, BM, Survival"
29905,Tempest Keep: The Eye,Kael'thas Sunstrider,Kael's Vial Remnant,Attune for Mt Hyjal ,,,,
30024,Tempest Keep: The Eye,Trash,Mantle of the Elven Kings,Free roll,,,,
30020,Tempest Keep: The Eye,Trash,Fire-Cord of the Magus,Free roll,,,,
30029,Tempest Keep: The Eye,Trash,Bark-Gloves of Ancient Wisdom,Resto Driuids,,,,
30026,Tempest Keep: The Eye,Trash,Bands of the Celestial Archer,Hunter,,,BM alt for Vambraces of Ending,
30030,Tempest Keep: The Eye,Trash,Girdle of Fallen Stars,Holy Paladin,,,,
30028,Tempest Keep: The Eye,Trash,Seventh Ring of the Tirisfalen,Tanks,Free roll / OS roll (prio swaps),,,
