item_id,raid,boss,item_name,p1,p2,p3,notes,tags
32255,Black Temple,Supremus,Felstone Bulwark,,,,,"shield, shield"
32266,Black Temple,Shade of Akama,Ring of Deceitful Intent,,,,,"ring, finger"
32273,Black Temple,Shade of Akama,Amice of Brilliant Light,,,,,"cloth armor, shoulder"
32270,Black Temple,Shade of Akama,Focused Mana Bindings,,,,,"cloth armor, wrist"
32513,Black Temple,Shade of Akama,Wristbands of Divine Influence,,,,,"cloth armor, wrist"
32271,Black Temple,Shade of Akama,Kilt of Immortal Nature,,,,,"leather armor, legs"
32265,Black Temple,Shade of Akama,Shadow-walker's Cord,,,,,"leather armor, waist"
32264,Black Temple,Shade of Akama,Shoulders of the Hidden Predator,,,,,"mail armor, shoulder"
32275,Black Temple,Shade of Akama,Spiritwalker Gauntlets,,,,,"mail armor, hands"
32276,Black Temple,Shade of Akama,Flashfire Girdle,,,,,"mail armor, waist"
32268,Black Temple,Shade of Akama,Myrmidon's Treads,,,,,"plate armor, feet"
32278,Black Temple,Shade of Akama,Grips of Silent Justice,,,,,"plate armor, hands"
32263,Black Temple,Shade of Akama,Praetorian's Legguards,,,,,"plate armor, legs"
32279,Black Temple,Shade of Akama,The Seeker's Wristguards,,,,,"plate armor, wrist"
32361,Black Temple,Shade of Akama,Blind-Seers Icon,,,,,"off-hand frill, held in off-hand"
32323,Black Temple,Teron Gorefiend,Shadowmoon Destroyer's Drape,,,,,"cloak, back"
32330,Black Temple,Teron Gorefiend,Totem of Ancestral Guidance,,,,,"totem, relic"
32329,Black Temple,Teron Gorefiend,Cowl of Benevolence,,,,,"cloth armor, head"
32327,Black Temple,Teron Gorefiend,Robe of the Shadow Council,,,,,"cloth armor, chest"
32328,Black Temple,Teron Gorefiend,Botanist's Gloves of Growth,,,,,"leather armor, hands"
32324,Black Temple,Teron Gorefiend,Insidious Bands,,,,,"leather armor, wrist"
32510,Black Temple,Teron Gorefiend,Softstep Boots of Tracking,,,,,"mail armor, feet"
32280,Black Temple,Teron Gorefiend,Gauntlets of Enforcement,,,,,"plate armor, hands"
32512,Black Temple,Teron Gorefiend,Girdle of Lordaeron's Fallen,,,,,"plate armor, waist"
32348,Black Temple,Teron Gorefiend,Soul Cleaver,,,,,"two-handed axe, two-hand"
32325,Black Temple,Teron Gorefiend,Rifle of the Stoic Guardian,,,,,"gun, ranged"
32326,Black Temple,Teron Gorefiend,Twisted Blades of Zarak,,,,,"thrown weapon, thrown"
32335,Black Temple,Gurtogg Bloodboil,Unstoppable Aggressor's Ring,,,,,"ring, finger"
32337,Black Temple,Gurtogg Bloodboil,Shroud of Forgiveness,,,,,"cloak, back"
32338,Black Temple,Gurtogg Bloodboil,Blood-cursed Shoulderpads,,,,,"cloth armor, shoulder"
32340,Black Temple,Gurtogg Bloodboil,Garments of Temperance,,,,,"cloth armor, chest"
32339,Black Temple,Gurtogg Bloodboil,Belt of Primal Majesty,,,,,"leather armor, waist"
32334,Black Temple,Gurtogg Bloodboil,Vest of Mounting Assault,,,,,"mail armor, chest"
32341,Black Temple,Gurtogg Bloodboil,Leggings of Divine Retribution,,,,,"plate armor, legs"
32342,Black Temple,Gurtogg Bloodboil,Girdle of Mighty Resolve,,,,,"plate armor, waist"
32333,Black Temple,Gurtogg Bloodboil,Girdle of Stability,,,,,"plate armor, waist"
32269,Black Temple,Gurtogg Bloodboil,Messenger of Fate,,,,,"dagger, one-hand"
32344,Black Temple,Gurtogg Bloodboil,Staff of Immaculate Recovery,,,,,"staff, two-hand"
32343,Black Temple,Gurtogg Bloodboil,Wand of Prismatic Focus,,,,,"wand, ranged"
32501,Black Temple,Gurtogg Bloodboil,Shadowmoon Insignia,,,,,"trinket, trinket"
32349,Black Temple,Reliquary of the Lost,Translucent Spellthread Necklace,,,,,"amulet, neck"
32353,Black Temple,Reliquary of the Lost,Gloves of Unfailing Faith,,,,,"cloth armor, hands"
32347,Black Temple,Reliquary of the Lost,Grips of Damnation,,,,,"leather armor, hands"
32517,Black Temple,Reliquary of the Lost,The Wavemender's Mantle,,,,,"mail armor, shoulder"
32345,Black Temple,Reliquary of the Lost,Dreadboots of the Legion,,,,,"plate armor, feet"
32354,Black Temple,Reliquary of the Lost,Crown of Empowered Fate,,,,,"plate armor, head"
32363,Black Temple,Reliquary of the Lost,Naaru-Blessed Life Rod,,,,,"wand, ranged"
32350,Black Temple,Reliquary of the Lost,Touch of Inspiration,,,,,"off-hand frill, held in off-hand"
32332,Black Temple,Reliquary of the Lost,Torch of the Damned,,,,,"two-handed mace, two-hand"
31101,Black Temple,Mother Shahraz,Pauldrons of the Forgotten Conqueror,,,,,"armor token, -"
31102,Black Temple,Mother Shahraz,Pauldrons of the Forgotten Vanquisher,,,,,"armor token, -"
31103,Black Temple,Mother Shahraz,Pauldrons of the Forgotten Protector,,,,,"armor token, -"
32370,Black Temple,Mother Shahraz,Nadina's Pendant of Purity,,,,,"amulet, neck"
32368,Black Temple,Mother Shahraz,Tome of the Lightbringer,,,,,"libram, relic"
32367,Black Temple,Mother Shahraz,Leggings of Devastation,,,,,"cloth armor, legs"
32366,Black Temple,Mother Shahraz,Shadowmaster's Boots,,,,,"leather armor, feet"
32369,Black Temple,Mother Shahraz,Blade of Savagery,,,,,"one-handed sword, one-hand"
32365,Black Temple,Mother Shahraz,Heartshatter Breastplate,,,,,"plate armor, chest"
31098,Black Temple,The Illidari Council,Leggings of the Forgotten Conqueror,,,,,"armor token, -"
31099,Black Temple,The Illidari Council,Leggings of the Forgotten Vanquisher,,,,,"armor token, -"
31100,Black Temple,The Illidari Council,Leggings of the Forgotten Protector,,,,,"armor token, -"
32331,Black Temple,The Illidari Council,Cloak of the Illidari Council,,,,,"cloak, back"
32519,Black Temple,The Illidari Council,Belt of Divine Guidance,,,,,"cloth armor, waist"
32376,Black Temple,The Illidari Council,Forest Prowler's Helm,,,,,"mail armor, head"
32373,Black Temple,The Illidari Council,Helm of the Illidari Shatterer,,,,,"plate armor, head"
32505,Black Temple,The Illidari Council,Madness of the Betrayer,,,,,"trinket, trinket"
32518,Black Temple,The Illidari Council,Veil of Turning Leaves,,,,,"leather armor, shoulder"
31089,Black Temple,Illidan Stormrage,Chestguard of the Forgotten Conqueror,,,,,"armor token, -"
31090,Black Temple,Illidan Stormrage,Chestguard of the Forgotten Vanquisher,,,,,"armor token, -"
31091,Black Temple,Illidan Stormrage,Chestguard of the Forgotten Protector,,,,,"armor token, -"
32471,Black Temple,Illidan Stormrage,Shard of Azzinoth,,,,,"dagger, one-hand"
32500,Black Temple,Illidan Stormrage,Crystal Spire of Karabor,,,,,"one-handed mace, main hand"
32374,Black Temple,Illidan Stormrage,"Zhar'doom, Greatstaff of the Devourer",,,,,"staff, two-hand"
32837,Black Temple,Illidan Stormrage,Warglaive of Azzinoth,,,,,"one-handed sword, main hand"
32838,Black Temple,Illidan Stormrage,Warglaive of Azzinoth,,,,,"one-handed sword, off hand"
32524,Black Temple,Illidan Stormrage,Shroud of the Highborne,,,,,"cloak, back"
32497,Black Temple,Illidan Stormrage,Stormrage Signet Ring,,,,,"ring, finger"
32525,Black Temple,Illidan Stormrage,Cowl of the Illidari High Lord,,,,,"cloth armor, head"
32235,Black Temple,Illidan Stormrage,Cursed Vision of Sargeras,,,,,"leather armor, head"
32521,Black Temple,Illidan Stormrage,Faceplate of the Impenetrable,,,,,"plate armor, head"
32336,Black Temple,Illidan Stormrage,Black Bow of the Betrayer,,,,,"bow, ranged"
32375,Black Temple,Illidan Stormrage,Bulwark of Azzinoth,,,,,"shield, shield"
32496,Black Temple,Illidan Stormrage,Memento of Tyrande,,,,,"trinket, trinket"
32483,Black Temple,Illidan Stormrage,The Skull of Gul'dan,,,,,"trinket, trinket"
32738,Black Temple,Profession Recipes,Plans: Dawnsteel Bracers,,,,,blacksmithing plans
32736,Black Temple,Profession Recipes,Plans: Swiftsteel Bracers,,,,,blacksmithing plans
32748,Black Temple,Profession Recipes,Pattern: Bindings of Lightning Reflexes,,,,,leatherworking pattern
32744,Black Temple,Profession Recipes,Pattern: Bracers of Renewed Life,,,,,leatherworking pattern
32750,Black Temple,Profession Recipes,Pattern: Living Earth Bindings,,,,,leatherworking pattern
32746,Black Temple,Profession Recipes,Pattern: Swiftstrike Bracers,,,,,leatherworking pattern
32754,Black Temple,Profession Recipes,Pattern: Bracers of Nimble Thought,,,,,tailoring pattern
32752,Black Temple,Profession Recipes,Pattern: Swiftheal Wraps,,,,,tailoring pattern
32526,Black Temple,Trash Mobs,Band of Devastation,,,,,"ring, finger"
32527,Black Temple,Trash Mobs,Ring of Ancient Knowledge,,,,,"ring, finger"
32528,Black Temple,Trash Mobs,Blessed Band of Karabor,,,,,"ring, finger"
32943,Black Temple,Trash Mobs,Swiftsteel Bludgeon,,,,,"one-handed mace, one-hand"
32606,Black Temple,Trash Mobs,Girdle of the Lightbearer,,,,,"plate armor, waist"
32608,Black Temple,Trash Mobs,Pillager's Gauntlets,,,,,"plate armor, hands"
32593,Black Temple,Trash Mobs,Treads of the Den Mother,,,,,"leather armor, feet"
34011,Black Temple,Trash Mobs,Illidari Runeshield,,,,,"shield, shield"
34012,Black Temple,Trash Mobs,Shroud of the Final Stand,,,,,"cloak, back"
30871,Mount Hyjal,Rage Winterchill,Bracers of Martyrdom,,,,,"cloth armor, wrist"
30870,Mount Hyjal,Rage Winterchill,Cuffs of Devastation,,,,,"cloth armor, wrist"
30868,Mount Hyjal,Rage Winterchill,Rejuvenating Bracers,,,,,"leather armor, wrist"
30863,Mount Hyjal,Rage Winterchill,Deadly Cuffs,,,,,"leather armor, wrist"
30864,Mount Hyjal,Rage Winterchill,Bracers of the Pathfinder,,,,,"mail armor, wrist"
30869,Mount Hyjal,Rage Winterchill,Howling Wind Bracers,,,,,"mail armor, wrist"
30873,Mount Hyjal,Rage Winterchill,Stillwater Boots,,,,,"mail armor, feet"
30866,Mount Hyjal,Rage Winterchill,Blood-stained Pauldrons,,,,,"plate armor, shoulder"
30862,Mount Hyjal,Rage Winterchill,Blessed Adamantite Bracers,,,,,"plate armor, wrist"
30861,Mount Hyjal,Rage Winterchill,Furious Shackles,,,,,"plate armor, wrist"
30872,Mount Hyjal,Rage Winterchill,Chronicle of Dark Secrets,,,,,"off-hand frill, held in off-hand"
30865,Mount Hyjal,Rage Winterchill,Tracker's Blade,,,,,"dagger, one-hand"
32459,Mount Hyjal,Rage Winterchill,Time-Phased Phylactery,,,,,"quest, -"
30888,Mount Hyjal,Anetheron,Anetheron's Noose,,,,,"cloth armor, waist"
30885,Mount Hyjal,Anetheron,Archbishop's Slippers,,,,,"cloth armor, feet"
30884,Mount Hyjal,Anetheron,Hatefury Mantle,,,,,"cloth armor, shoulder"
30886,Mount Hyjal,Anetheron,Enchanted Leather Sandals,,,,,"leather armor, feet"
30879,Mount Hyjal,Anetheron,Don Alejandro's Money Belt,,,,,"leather armor, waist"
30880,Mount Hyjal,Anetheron,Quickstrider Moccasins,,,,,"mail armor, feet"
30887,Mount Hyjal,Anetheron,Golden Links of Restoration,,,,,"mail armor, chest"
30878,Mount Hyjal,Anetheron,Glimmering Steel Mantle,,,,,"plate armor, shoulder"
30883,Mount Hyjal,Anetheron,Pillar of Ferocity,,,,,"staff, two-hand"
30874,Mount Hyjal,Anetheron,The Unbreakable Will,,,,,"one-handed sword, one-hand"
30881,Mount Hyjal,Anetheron,Blade of Infamy,,,,,"one-handed sword, one-hand"
30882,Mount Hyjal,Anetheron,Bastion of Light,,,,,"shield, shield"
30894,Mount Hyjal,Kaz'rogal,Blue Suede Shoes,,,,,"cloth armor, feet"
30916,Mount Hyjal,Kaz'rogal,Leggings of Channeled Elements,,,,,"cloth armor, legs"
30895,Mount Hyjal,Kaz'rogal,Angelista's Sash,,,,,"cloth armor, waist"
30917,Mount Hyjal,Kaz'rogal,Razorfury Mantle,,,,,"leather armor, shoulder"
30891,Mount Hyjal,Kaz'rogal,Black Featherlight Boots,,,,,"leather armor, feet"
30914,Mount Hyjal,Kaz'rogal,Belt of the Crescent Moon,,,,,"leather armor, waist"
30892,Mount Hyjal,Kaz'rogal,Beast-tamer's Shoulders,,,,,"mail armor, shoulder"
30893,Mount Hyjal,Kaz'rogal,Sun-touched Chain Leggings,,,,,"mail armor, legs"
30919,Mount Hyjal,Kaz'rogal,Valestalker Girdle,,,,,"mail armor, waist"
30915,Mount Hyjal,Kaz'rogal,Belt of Seething Fury,,,,,"plate armor, waist"
30918,Mount Hyjal,Kaz'rogal,Hammer of Atonement,,,,,"one-handed mace, main hand"
30889,Mount Hyjal,Kaz'rogal,Kaz'rogal's Hardened Heart,,,,,"shield, shield"
31092,Mount Hyjal,Azgalor,Gloves of the Forgotten Conqueror,,,,,"armor token, -"
31093,Mount Hyjal,Azgalor,Gloves of the Forgotten Vanquisher,,,,,"armor token, -"
31094,Mount Hyjal,Azgalor,Gloves of the Forgotten Protector,,,,,"armor token, -"
30899,Mount Hyjal,Azgalor,Don Rodrigo's Poncho,,,,,"leather armor, chest"
30898,Mount Hyjal,Azgalor,Shady Dealer's Pantaloons,,,,,"leather armor, legs"
30900,Mount Hyjal,Azgalor,Bow-stitched Leggings,,,,,"mail armor, legs"
30897,Mount Hyjal,Azgalor,Girdle of Hope,,,,,"plate armor, waist"
30896,Mount Hyjal,Azgalor,Glory of the Defender,,,,,"plate armor, chest"
30901,Mount Hyjal,Azgalor,Boundless Agony,,,,,"dagger, one-hand"
31097,Mount Hyjal,Archimonde,Helm of the Forgotten Conqueror,,,,,"armor token, -"
31095,Mount Hyjal,Archimonde,Helm of the Forgotten Protector,,,,,"armor token, -"
31096,Mount Hyjal,Archimonde,Helm of the Forgotten Vanquisher,,,,,"armor token, -"
30913,Mount Hyjal,Archimonde,Robes of Rhonin,,,,,"cloth armor, chest"
30912,Mount Hyjal,Archimonde,Leggings of Eternity,,,,,"cloth armor, legs"
30905,Mount Hyjal,Archimonde,Midnight Chestguard,,,,,"leather armor, chest"
30907,Mount Hyjal,Archimonde,Mail of Fevered Pursuit,,,,,"mail armor, chest"
30903,Mount Hyjal,Archimonde,Legguards of Endless Rage,,,,,"plate armor, legs"
30904,Mount Hyjal,Archimonde,Savior's Grasp,,,,,"plate armor, chest"
30909,Mount Hyjal,Archimonde,Antonidas's Aegis of Rapt Concentration,,,,,"shield, shield"
30908,Mount Hyjal,Archimonde,Apostle of Argus,,,,,"staff, two-hand"
30902,Mount Hyjal,Archimonde,Cataclysm's Edge,,,,,"two-handed sword, two-hand"
30910,Mount Hyjal,Archimonde,Tempest of Chaos,,,,,"one-handed sword, main hand"
30906,Mount Hyjal,Archimonde,Bristleblitz Striker,,,,,"bow, ranged"
30911,Mount Hyjal,Archimonde,Scepter of Purification,,,,,"off-hand frill, held in off-hand"
32285,Mount Hyjal,All Bosses,Design: Flashing Crimson Spinel,,,,,jewelcrafting design
32289,Mount Hyjal,All Bosses,Design: Stormy Empyrean Sapphire,,,,,jewelcrafting design
32295,Mount Hyjal,All Bosses,Design: Mystic Lionseye,,,,,jewelcrafting design
32296,Mount Hyjal,All Bosses,Design: Great Lionseye,,,,,jewelcrafting design
32297,Mount Hyjal,All Bosses,Design: Sovereign Shadowsong Amethyst,,,,,jewelcrafting design
32298,Mount Hyjal,All Bosses,Design: Shifting Shadowsong Amethyst,,,,,jewelcrafting design
32303,Mount Hyjal,All Bosses,Design: Inscribed Pyrestone,,,,,jewelcrafting design
32307,Mount Hyjal,All Bosses,Design: Veiled Pyrestone,,,,,jewelcrafting design
32590,Mount Hyjal,Mount Hyjal Trash,Nethervoid Cloak,,,,,"cloak, back"
34010,Mount Hyjal,Mount Hyjal Trash,Pepe's Shroud of Pacification,,,,,"cloak, back"
32591,Mount Hyjal,Mount Hyjal Trash,Choker of Serrated Blades,,,,,"amulet, neck"
32589,Mount Hyjal,Mount Hyjal Trash,Hellfire-Encased Pendant,,,,,"amulet, neck"
32609,Mount Hyjal,Mount Hyjal Trash,Boots of the Divine Light,,,,,"cloth armor, feet"
32592,Mount Hyjal,Mount Hyjal Trash,Chestguard of Relentless Storms,,,,,"mail armor, chest"
32946,Mount Hyjal,Mount Hyjal Trash,Claw of Molten Fury,,,,,"fist weapon, main hand"
32945,Mount Hyjal,Mount Hyjal Trash,Fist of Molten Fury,,,,,"fist weapon, off hand"
34009,Mount Hyjal,Mount Hyjal Trash,Hammer of Judgement,,,,,"one-handed mace, main hand"
